CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/28/2018,03:45:00,5D,0 E 21ST ST,BURGLARY,I,,514,NORTHERN,Charles North,-76.61635,39.31322,""(39.313220000000, -76.616350000000)"",LIQUOR STO,1"
"04/28/2018,03:25:00,4D,6000 AMBERWOOD RD,AGG. ASSAULT,I,HANDS,443,NORTHEASTERN,Frankford,-76.54332,39.31632,""(39.316320000000, -76.543320000000)"",APT/CONDO,1"
"04/28/2018,02:36:00,4E,3000 SOUTHLAND AVE,COMMON ASSAULT,O,OTHER,922,SOUTHERN,Cherry Hill,-76.61887,39.25022,""(39.250220000000, -76.618870000000)"",STREET,1"
"04/28/2018,02:30:00,6D,800 OLDHAM ST,LARCENY FROM AUTO,O,,242,SOUTHEASTERN,Greektown,-76.55561,39.28364,""(39.283640000000, -76.555610000000)"",YARD,1"
"04/28/2018,02:15:00,6J,1200 N MONTFORD AVE,LARCENY,,,331,EASTERN,Broadway East,-76.58414,39.30503,""(39.305030000000, -76.584140000000)"",,1"
"04/28/2018,02:00:00,4C,BL & S CAREY ST,AGG. ASSAULT,O,OTHER,932,SOUTHERN,Washington Village/Pigtow,-76.63538,39.28066,""(39.280660000000, -76.635380000000)"",STREET,1"
05/09/2016,21:59:00,3AF,,ROBBERY - STREET,O,FIREARM,944,SOUTHERN,,,,,STREET,1
"04/28/2018,02:00:00,6D,3300 BRENDAN AVE,LARCENY FROM AUTO,O,,432,NORTHEASTERN,Belair-Edison,-76.5683,39.3212,""(39.321200000000, -76.568300000000)"",STREET,1"
"04/28/2018,01:44,9S,1600 HAZEL ST,SHOOTING,Outside,FIREARM,911,SOUTHERN,Curtis Bay,-76.58835,39.22608,""(39.226080000000, -76.588350000000)"",Street,1"
"04/28/2018,01:44,9S,1600 HAZEL ST,SHOOTING,Outside,FIREARM,911,SOUTHERN,Curtis Bay,-76.58835,39.22608,""(39.226080000000, -76.588350000000)"",Street,1"
"04/28/2018,01:44:00,4A,1600 HAZEL ST,AGG. ASSAULT,O,FIREARM,911,SOUTHERN,Curtis Bay,-76.58835,39.22608,""(39.226080000000, -76.588350000000)"",STREET,1"
"04/28/2018,01:44:00,4A,1600 HAZEL ST,AGG. ASSAULT,O,FIREARM,911,SOUTHERN,Curtis Bay,-76.58835,39.22608,""(39.226080000000, -76.588350000000)"",STREET,1"
"04/28/2018,01:40:00,4E,3900 E LOMBARD ST,COMMON ASSAULT,I,OTHER,223,SOUTHEASTERN,Baltimore Highlands,-76.56431,39.29149,""(39.291490000000, -76.564310000000)"",RETAIL/SMA,1"
"04/28/2018,01:27:00,4E,3200 PELHAM AVE,COMMON ASSAULT,I,OTHER,432,NORTHEASTERN,Belair-Edison,-76.56814,39.32279,""(39.322790000000, -76.568140000000)"",ROW/TOWNHO,1"
"04/28/2018,01:21:00,3AK,RD & SHANNON DR,ROBBERY - STREET,O,KNIFE,422,NORTHEASTERN,Herring Run Park,-76.56838,39.32573,""(39.325730000000, -76.568380000000)"",STREET,1"
"04/28/2018,01:00:00,6D,1900 W MULBERRY ST,LARCENY FROM AUTO,O,,714,WESTERN,Penrose/Fayette Street Ou,-76.6477,39.29289,""(39.292890000000, -76.647700000000)"",STREET,1"
"04/28/2018,00:17:00,3B,2800 KENNEDY AVE,ROBBERY - STREET,O,,411,NORTHEASTERN,Coldstream Homestead Mont,-76.59414,39.32321,""(39.323210000000, -76.594140000000)"",STREET,1"
"04/28/2018,00:04:00,6C,4000 EASTERN AVE,LARCENY,I,,231,SOUTHEASTERN,Highlandtown,-76.56308,39.28681,""(39.286810000000, -76.563080000000)"",DRUG STORE,1"
"04/28/2018,00:00:00,5D,3000 GWYNNS FALLS PKWY,BURGLARY,O,,811,NORTHWESTERN,Walbrook,-76.66838,39.31434,""(39.314340000000, -76.668380000000)"",OTHER - OU,1"
"04/27/2018,23:45:00,4E,500 E BALTIMORE ST,COMMON ASSAULT,O,OTHER,111,CENTRAL,Downtown,-76.60882,39.28981,""(39.289810000000, -76.608820000000)"",STREET,1"
"04/27/2018,23:40:00,4D,3600 OAKMONT AVE,AGG. ASSAULT,I,HANDS,613,NORTHWESTERN,Central Park Heights,-76.67684,39.34405,""(39.344050000000, -76.676840000000)"",APT/CONDO,1"
"04/27/2018,23:30:00,5D,7600 HARFORD RD,BURGLARY,I,,424,NORTHEASTERN,North Harford Road,-76.54442,39.37191,""(39.371910000000, -76.544420000000)"",CARRY OUT,1"
"04/27/2018,23:25:00,3CF,1000 W PATAPSCO AVE,ROBBERY - COMMERCIAL,I,FIREARM,922,SOUTHERN,Cherry Hill,-76.63636,39.24694,""(39.246940000000, -76.636360000000)"",LIQUOR STO,1"
"04/27/2018,23:13:00,5A,3900 LIBERTY HEIGHTS AVE,BURGLARY,I,,621,NORTHWESTERN,Dorchester,-76.68396,39.32783,""(39.327830000000, -76.683960000000)"",ROW/TOWNHO,1"
"04/27/2018,23:00:00,7A,1300 N PATTERSON PARK AVE,AUTO THEFT,,,331,EASTERN,Broadway East,-76.58554,39.30617,""(39.306170000000, -76.585540000000)"",,1"
